Atenção: Este log não está completo. Contém apenas algumas instruções. Tem partes faltando. É apenas uma pequena ajuda para a implementação.
O desafio maior é traduzir o assembly.

03:B356  4E 75  RTS                              A0=00FF184F A1=00FF2FA8 A2=00FF35AA A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B5E D0=0000E000 D1=7FF00EEE D2=0000FFFF D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnzvc
00:382C  22 08  MOVE.L  A0,D1                    A0=0016943C A1=00FF316C A2=00FF316C A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B4E D0=0000E000 D1=7FF00EEE D2=0000FFFF D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnzvc
00:382E  74 00  MOVEQ   #$00,D2                  A0=0016943C A1=00FF316C A2=00FF316C A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B4E D0=0000E000 D1=0016943C D2=0000FFFF D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnzvc
00:3830  14 18  MOVE.B  (A0)+,D2                 A0=0016943C A1=00FF316C A2=00FF316C A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B4E D0=0000E000 D1=0016943C D2=00000000 D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnZvc
00:3832  10 18  MOVE.B  (A0)+,D0                 A0=0016943D A1=00FF316C A2=00FF316C A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B4E D0=0000E000 D1=0016943C D2=000000C0 D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xNzvc
00:3834  E1 48  LSL.W   #8,D0                    A0=0016943E A1=00FF316C A2=00FF316C A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B4E D0=0000E004 D1=0016943C D2=000000C0 D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnzvc
00:3836  84 40  OR.W    D0,D2                    A0=0016943E A1=00FF316C A2=00FF316C A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B4E D0=00000400 D1=0016943C D2=000000C0 D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnzvc
00:3838  D4 81  ADD.L   D1,D2                    A0=0016943E A1=00FF316C A2=00FF316C A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B4E D0=00000400 D1=0016943C D2=000004C0 D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnzvc
00:386C  08 80  BCLR    #4,D0                    A0=0016943F A1=00FF316C A2=00FF316C A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B4E D0=00000010 D1=0016943C D2=001698FC D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnzvc
00:3870  67 00  BEQ     #$0006 [00:3878]         A0=0016943F A1=00FF316C A2=00FF316C A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B4E D0=00000000 D1=0016943C D2=001698FC D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnzvc
00:3874  E1 48  LSL.W   #8,D0                    A0=0016943F A1=00FF316C A2=00FF316C A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B4E D0=00000000 D1=0016943C D2=001698FC D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnzvc
00:3876  10 18  MOVE.B  (A0)+,D0                 A0=0016943F A1=00FF316C A2=00FF316C A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B4E D0=00000000 D1=0016943C D2=001698FC D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnZvc
00:3878  56 40  ADDQ.W  #3,D0                    A0=00169440 A1=00FF316C A2=00FF316C A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B4E D0=0000001D D1=0016943C D2=001698FC D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnzvc
00:387A  12 18  MOVE.B  (A0)+,D1                 A0=00169440 A1=00FF316C A2=00FF316C A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B4E D0=00000020 D1=0016943C D2=001698FC D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnzvc
00:3882  60 00  BRA     #$FFB6 [00:383A]         A0=00169441 A1=00FF318D A2=00FF316C A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B4E D0=0000FFFF D1=00169400 D2=001698FC D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnZvc
00:386C  08 80  BCLR    #4,D0                    A0=00169470 A1=00FF31DB A2=00FF31D0 A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B4E D0=0000000D D1=00000000 D2=001698FC D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnzvc
00:3870  67 00  BEQ     #$0006 [00:3878]         A0=00169470 A1=00FF31DB A2=00FF31D0 A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B4E D0=0000000D D1=00000000 D2=001698FC D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnZvc
00:3878  56 40  ADDQ.W  #3,D0                    A0=00169470 A1=00FF31DB A2=00FF31D0 A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B4E D0=0000000D D1=00000000 D2=001698FC D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnZvc
00:387A  12 18  MOVE.B  (A0)+,D1                 A0=00169470 A1=00FF31DB A2=00FF31D0 A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B4E D0=00000010 D1=00000000 D2=001698FC D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnzvc
00:3882  60 00  BRA     #$FFB6 [00:383A]         A0=00169471 A1=00FF31EC A2=00FF31D0 A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B4E D0=0000FFFF D1=00000000 D2=001698FC D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnZvc
00:385C  E1 48  LSL.W   #8,D0                    A0=00169489 A1=00FF320C A2=00FF31A4 A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B4E D0=00000000 D1=00000020 D2=001698FC D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnzvc
00:385E  10 18  MOVE.B  (A0)+,D0                 A0=00169489 A1=00FF320C A2=00FF31A4 A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B4E D0=00000000 D1=00000020 D2=001698FC D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnZvc
00:386C  08 80  BCLR    #4,D0                    A0=00169510 A1=00FF32E9 A2=00FF31A5 A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B4E D0=00000010 D1=00000140 D2=001698FC D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnzvc
00:3870  67 00  BEQ     #$0006 [00:3878]         A0=00169510 A1=00FF32E9 A2=00FF31A5 A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B4E D0=00000000 D1=00000140 D2=001698FC D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnzvc
00:3874  E1 48  LSL.W   #8,D0                    A0=00169510 A1=00FF32E9 A2=00FF31A5 A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B4E D0=00000000 D1=00000140 D2=001698FC D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnzvc
00:3876  10 18  MOVE.B  (A0)+,D0                 A0=00169510 A1=00FF32E9 A2=00FF31A5 A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B4E D0=00000000 D1=00000140 D2=001698FC D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnZvc
00:3878  56 40  ADDQ.W  #3,D0                    A0=00169511 A1=00FF32E9 A2=00FF31A5 A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B4E D0=00000010 D1=00000140 D2=001698FC D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnzvc
00:387A  12 18  MOVE.B  (A0)+,D1                 A0=00169511 A1=00FF32E9 A2=00FF31A5 A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B4E D0=00000013 D1=00000140 D2=001698FC D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnzvc
00:3882  60 00  BRA     #$FFB6 [00:383A]         A0=00169512 A1=00FF32FD A2=00FF31A5 A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B4E D0=0000FFFF D1=00000100 D2=001698FC D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnZvc
00:386C  08 80  BCLR    #4,D0                    A0=00169523 A1=00FF3320 A2=00FF31CC A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B4E D0=00000010 D1=00000140 D2=001698FC D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnzvc
00:3870  67 00  BEQ     #$0006 [00:3878]         A0=00169523 A1=00FF3320 A2=00FF31CC A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B4E D0=00000000 D1=00000140 D2=001698FC D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnzvc
00:3874  E1 48  LSL.W   #8,D0                    A0=00169523 A1=00FF3320 A2=00FF31CC A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B4E D0=00000000 D1=00000140 D2=001698FC D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnzvc
00:3876  10 18  MOVE.B  (A0)+,D0                 A0=00169523 A1=00FF3320 A2=00FF31CC A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B4E D0=00000000 D1=00000140 D2=001698FC D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnZvc
00:3878  56 40  ADDQ.W  #3,D0                    A0=00169524 A1=00FF3320 A2=00FF31CC A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B4E D0=00000019 D1=00000140 D2=001698FC D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnzvc
00:387A  12 18  MOVE.B  (A0)+,D1                 A0=00169524 A1=00FF3320 A2=00FF31CC A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B4E D0=0000001C D1=00000140 D2=001698FC D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnzvc
00:3882  60 00  BRA     #$FFB6 [00:383A]         A0=00169525 A1=00FF333D A2=00FF31CC A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B4E D0=0000FFFF D1=00000100 D2=001698FC D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnZvc
00:386C  08 80  BCLR    #4,D0                    A0=0016956E A1=00FF33C8 A2=00FF31B8 A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B4E D0=00000000 D1=00000240 D2=001698FC D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnzvc
00:3870  67 00  BEQ     #$0006 [00:3878]         A0=0016956E A1=00FF33C8 A2=00FF31B8 A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B4E D0=00000000 D1=00000240 D2=001698FC D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnZvc
00:3878  56 40  ADDQ.W  #3,D0                    A0=0016956E A1=00FF33C8 A2=00FF31B8 A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B4E D0=00000000 D1=00000240 D2=001698FC D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnZvc
00:387A  12 18  MOVE.B  (A0)+,D1                 A0=0016956E A1=00FF33C8 A2=00FF31B8 A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B4E D0=00000003 D1=00000240 D2=001698FC D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnzvc
00:3882  60 00  BRA     #$FFB6 [00:383A]         A0=0016956F A1=00FF33CC A2=00FF31B8 A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B4E D0=0000FFFF D1=000002EE D2=001698FC D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xNzvc
00:386C  08 80  BCLR    #4,D0                    A0=001697E0 A1=00FF3A4C A2=00FF33AC A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B4E D0=00000001 D1=00000640 D2=001698FC D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnzvc
00:3870  67 00  BEQ     #$0006 [00:3878]         A0=001697E0 A1=00FF3A4C A2=00FF33AC A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B4E D0=00000001 D1=00000640 D2=001698FC D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnZvc
00:3878  56 40  ADDQ.W  #3,D0                    A0=001697E0 A1=00FF3A4C A2=00FF33AC A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B4E D0=00000001 D1=00000640 D2=001698FC D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnZvc
00:387A  12 18  MOVE.B  (A0)+,D1                 A0=001697E0 A1=00FF3A4C A2=00FF33AC A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B4E D0=00000004 D1=00000640 D2=001698FC D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnzvc
00:3882  60 00  BRA     #$FFB6 [00:383A]         A0=001697E1 A1=00FF3A51 A2=00FF33AC A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B4E D0=0000FFFF D1=00000600 D2=001698FC D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnZvc
00:386C  08 80  BCLR    #4,D0                    A0=001698FA A1=00FF3D58 A2=00FF3960 A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B4E D0=00000010 D1=00000340 D2=001698FC D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnzvc
00:3870  67 00  BEQ     #$0006 [00:3878]         A0=001698FA A1=00FF3D58 A2=00FF3960 A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B4E D0=00000000 D1=00000340 D2=001698FC D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnzvc
00:3874  E1 48  LSL.W   #8,D0                    A0=001698FA A1=00FF3D58 A2=00FF3960 A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B4E D0=00000000 D1=00000340 D2=001698FC D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnzvc
00:3876  10 18  MOVE.B  (A0)+,D0                 A0=001698FA A1=00FF3D58 A2=00FF3960 A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B4E D0=00000000 D1=00000340 D2=001698FC D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnZvc
00:3878  56 40  ADDQ.W  #3,D0                    A0=001698FB A1=00FF3D58 A2=00FF3960 A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B4E D0=00000010 D1=00000340 D2=001698FC D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnzvc
00:387A  12 18  MOVE.B  (A0)+,D1                 A0=001698FB A1=00FF3D58 A2=00FF3960 A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B4E D0=00000013 D1=00000340 D2=001698FC D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnzvc
00:3882  60 00  BRA     #$FFB6 [00:383A]         A0=001698FC A1=00FF3D6C A2=00FF3960 A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B4E D0=0000FFFF D1=00000300 D2=001698FC D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnZvc
00:38C4  10 18  MOVE.B  (A0)+,D0                 A0=001698FC A1=00FF3D6C A2=00FF3960 A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B4E D0=0000FFFF D1=00000300 D2=001698FC D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnZvc
00:38C6  66 00  BNE     #$FF64 [00:382C]         A0=001698FD A1=00FF3D6C A2=00FF3960 A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B4E D0=0000FF00 D1=00000300 D2=001698FC D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnZvc
00:38CA  4C DF  MOVEM.L (SP)+,{a7-d0}[04 07]     A0=001698FD A1=00FF3D6C A2=00FF3960 A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B4E D0=0000FF00 D1=00000300 D2=001698FC D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnZvc
00:38CE  4E 75  RTS                              A0=001698FD A1=00FF3D6C A2=00FF316C A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B5E D0=0000E000 D1=7FF00EEE D2=0000FFFF D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnZvc
